강의분류,강의명,조회수,조회수_숫자
제조업,HRI ESG Report,조회수 : 240,240
제조업,보통 직장인을 위한 데이터 리터러시,조회수 : 474,474
건설업,회사를 살리는 유튜브+인스타그램 소셜미디어 마케팅,조회수 : 1093,1093
마케팅,공정한 보상,조회수 : 375,375
제조업,생각이란 무엇인가,조회수 : 929,929
건설업,핵심만 콕! 비즈니스 문서작성의 핵심과 실무 스킬,조회수 : 374,374
정보통신,콘텐츠가 전부다,조회수 : 177,177
제조업,[업스킬] 초보자도 따라하기 쉬운 영상 편집 올인원(프리미어 프로+애프터이펙트),조회수 : 288,288
제조업,내 손글씨로 저절로 돈이 들어오는 파이프라인 8개 비법 공개,조회수 : 638,638
제조업,[GPT 산업전망] ChatGPT가 궁극의 혁신이라 불리는 이유,조회수 : 699,699
마케팅,[HD]정보처리기능사 실기 2과목 프로그래밍언어 활용 (2023년개정) Part.1 C언어,조회수 : 113,113
운수 및 창고업,[HD]누구나 쉽게 생산성을 높이는 Notion(노션) 데이터베이스 중급 - Part.1 테이블 컬럼 속성,조회수 : 349,349
예술,[HD]GTQ 2급 자격증 따기 - 기출문제 (2022),조회수 : 348,348
제조업,고객 확보를 위한 페이드 광고 설정법,조회수 : 141,141
건설업,[HD]최강의 무료 영상편집 Davinci Resolve(다빈치 리졸브) V17 Fusion 입문 Part.2,조회수 : 172,172
공급업,[오단기 2010~2019] 지금 바로 써먹는 피도리의 실전 파워포인트-디자인 꿀팁,조회수 : 594,594
제조업,1시간 만에 완성하는 유튜브 영상 편집,조회수 : 1263,1263
공급업,Photogrammetry 활용하기 - Zbrush 리토폴리지 및 모델링 출력하기,조회수 : 885,885
건설업,세상에 하나뿐인 나만의 작품만들기,조회수 : 352,352
마케팅,신중년 재취업 면접 이미지메이킹 과정,조회수 : 2378,2378
제조업,4050 글로벌 온라인 시장 도전하기,조회수 : 445,445
건설업,구성안부터 완성까지 - 다큐멘터리 지식채널e 숏 콘텐츠 5분의 미학,조회수 : 584,584
마케팅,단편 애니메이션 스토리텔링 - 애니메이션 스토리텔링,조회수 : 881,881
제조업,웹툰 프로듀서를 위한 실전 만화기획 - 뚜렷한 주제와 정확한 로그라인 만들기,조회수 : 506,506
정보통신,브랜드 RE:BOOT,조회수 : 394,394
마케팅,일의 밀도,조회수 : 386,386
제조업,AI가 사무실에 Log-in했습니다,조회수 : 828,828
건설업,빅데이터와 비즈니스의 미래,조회수 : 424,424
예술,글자만 바꿔도 매출이 오르는 특이한 비결,조회수 : 145,145
건설업,[HD]기출문제 풀이로 배우는 ITQ 한글 (2023년),조회수 : 645,645
제조업,다시 출근합니다 제2의 인생 - 꿈꾸는 내일(전업편),조회수 : 2535,2535
제조업,방구석 해외 판매로 월급 만들기 [기초 과정],조회수 : 803,803
운수 및 창고업,2024 박문각 주택관리사 - 문제풀이 - 공동주택 시설개론,조회수 : 14121,14121
의료,[주거복지사] 2024 주거복지사 시험대비(실무와 적용),조회수 : 228,228
건설업,새로운 시대의 영상 예술이 되다_자크 킹(Zach King) - Q&A로 알아보는 창의적 영상의 세계,조회수 : 486,486
